"","X","County.Code","District.Code","School.Code","Charter.Number","Test.Year","Subgroup.ID","Test.Type","CAPA.Assessment.Level","Total.STAR.Enrollment","Total.Tested.At.Entity.Level","Total.Tested.At.Subgroup.Level","Grade","Test.Id","STAR.Reported.Enrollment.CAPA.Eligible","Students.Tested","Percent.Tested","Mean.Scale.Score","Percentage.Advanced","Percentage.Proficient","Percentage.At.Or.Above.Proficient","Percentage.Basic","Percentage.Below.Basic","Percentage.Far.Below.Basic","Students.with.Scores","CMA.STS.Average.Percent.Correct","School.Name","District.Name","County.Name","Zip.Code","Test.Name","Subgroup.Name"
"87","52948",38,68478,6040737,0,2010,6,"C",0,266,266,212,2,7,68,41,60.3,382.4,NA,NA,73,NA,NA,NA,41,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Fluent-English Proficient and English Only"
"88","52949",38,68478,6040737,0,2010,6,"C",0,266,266,212,3,7,70,55,78.6,363.4,NA,NA,53,NA,NA,NA,55,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Fluent-English Proficient and English Only"
"89","52952",38,68478,6040737,0,2010,6,"C",0,266,266,212,4,8,65,57,87.7,411.4,NA,NA,88,NA,NA,NA,57,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST Mathematics"," Fluent-English Proficient and English Only"
"90","52953",38,68478,6040737,0,2010,6,"C",0,266,266,212,5,8,63,55,87.3,470.1,NA,NA,87,NA,NA,NA,55,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST Mathematics"," Fluent-English Proficient and English Only"
"91","52955",38,68478,6040737,0,2010,6,"C",0,266,266,212,5,32,63,55,87.3,406.7,NA,NA,87,NA,NA,NA,55,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science"," Fluent-English Proficient and English Only"
"92","52970",38,68478,6040737,0,2010,8,"C",0,266,266,67,3,7,70,18,25.7,358.1,NA,NA,50,NA,NA,NA,18,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Reclassified-Fluent English Proficient (R-FEP)"
"93","52971",38,68478,6040737,0,2010,8,"C",0,266,266,67,3,8,70,18,25.7,489.1,NA,NA,89,NA,NA,NA,18,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST Mathematics"," Reclassified-Fluent English Proficient (R-FEP)"
"94","52973",38,68478,6040737,0,2010,8,"C",0,266,266,67,4,7,65,25,38.5,408.5,NA,NA,96,NA,NA,NA,25,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Reclassified-Fluent English Proficient (R-FEP)"
"95","52975",38,68478,6040737,0,2010,8,"C",0,266,266,67,5,8,63,24,38.1,459.3,NA,NA,83,NA,NA,NA,24,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST Mathematics"," Reclassified-Fluent English Proficient (R-FEP)"
"96","53159",38,68478,6040737,0,2010,129,"C",0,266,266,118,2,7,68,31,45.6,376,NA,NA,71,NA,NA,NA,31,NA,"Argonne Elementary","San Francisco Unified","San Francisco",94121,"CST English-Language Arts"," Chinese"
